Genes	2EA(1)	2EP(1)	2EA	2EP	3EA	3EP	4EA	4EP	5EA	5EP	6EA	6EP	7EA	7EP	8EA	8EP
March1	0	0	0	0	0.6	0	0.7	0.2	0.7	0.3	2.1	0	0	0	0	0
March2	1	1.2	1	1.2	2.5	3.4	3.3	3.2	4	3	3.8	4.1	4.4	3.8	4.6	5.7
March5	3.9	4.1	3.9	4.1	4.5	4.4	4.6	4.9	4.7	5.4	5.3	5.8	5.7	5.1	4.8	5.9
March6	1.1	0	1.1	0	0.8	1.3	1.6	1.7	2.3	2	1.3	2.9	2	3.3	3.6	2.8
March7	0	3.3	0	3.3	2.1	1.8	2.3	1.9	2.5	2	2	3.9	3.1	3.2	3.6	3.3
March8	0.5	0.4	0.5	0.4	0	0	1	1	1.9	1.9	1.4	3.8	2.1	0.3	0.5	1.2
March9	0	0	0	0	1.7	0	0.9	0	0	0	0.7	0	0.9	0.6	1.1	0
March11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sept1	0	1	0	1	0	0	0	0.6	0	1.2	0	0	0	0.8	0.3	1.7
Sept2	4.1	4.9	4.1	4.9	3.8	3.4	3.4	3.7	2.9	3.9	3.1	3.7	4.2	5.1	4.4	5.3
Sept3	0	0	0	0	2.1	0	1.1	0	0	0	0	0	0.4	1	0	0
Sept4	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0
Sept6	0	0.5	0	0.5	0	1.3	0	1	0	0.6	0	0	0.1	1.3	0.3	0.7
Sept7	4.3	4.3	4.3	4.3	3.6	3.3	4	3.9	4.4	4.5	3.8	5.2	5	5.4	5.3	4.3
Sept8	3.6	1	3.6	1	1.6	1.3	1.1	1.6	0.6	1.9	0	3	1.6	3	2.5	3.7
Sept9	2.2	2.7	2.2	2.7	2.9	2.2	2.1	1.6	1.2	0.9	1.3	2.8	2.6	3.3	2.3	0.8
Sept10	1	1.4	1	1.4	0	0	0	1.3	0	2.5	0	1.7	0.7	2	1.5	1.2
Sept11	2.5	3.3	2.5	3.3	0	2.5	1.5	2.3	2.9	2	3.7	3.8	2.4	3.6	3.4	3.6
Sep15	4.4	6.4	4.4	6.4	4.8	3.5	5.4	4.5	5.9	5.5	5.5	6	6.5	6.3	6.2	5.7
0610005C13Rik	0	0	0	0	0	0	1.4	0.7	2.8	1.4	0.8	5.2	4.1	4.6	5.2	5
0610007N19Rik	1.9	4.3	1.9	4.3	0	0	1.4	0.6	2.8	1.1	3.5	0	2.1	0.5	4	2.2
0610007P14Rik	3.2	4.3	3.2	4.3	3.7	3.4	3.1	3.2	2.5	3	3.1	4.1	4.7	5.5	4.9	5.2
0610009B22Rik	0	0	0	0	0	0	2.2	0.9	4.4	1.8	4.1	5.1	4.6	5.6	4.8	2.7
0610009D07Rik	4.1	5.6	4.1	5.6	3.3	2.2	3.6	3	3.8	3.8	3.5	5.9	4.4	5.7	5.6	6.5
0610009L18Rik	0	0	0	0	0	0	0	0	0	0	1.1	0	2.4	0	2.1	0
0610009O20Rik	0.8	3.4	0.8	3.4	0	2.6	1.3	2	2.6	1.3	3.8	4.1	2.5	3.6	4.5	3.4
0610010B08Rik	1.6	0	1.6	0	0	2	0.7	2.2	1.4	2.4	2.4	3.7	1.9	2.8	3.6	3.6
0610010F05Rik	0.9	0	0.9	0	1	0	0.5	0.7	0	1.3	2.1	0.1	0.2	1.2	2	1.1
0610010K14Rik	5.6	5.3	5.6	5.3	0	4.6	2.6	5.6	5.2	6.5	5.7	6.4	6.7	6	6.1	6.7
0610011F06Rik	3.2	0	3.2	0	4.9	1.8	4.5	1.8	4.1	1.8	4.3	4.9	5.3	3.9	5.5	5.5
0610012G03Rik	4.8	3.6	4.8	3.6	0	0.7	0	2	0	3.3	3.9	4.9	4.4	4.2	4	3.6
0610012H03Rik	0	0	0	0	0	0	0	0.4	0	0.7	0	1.7	0	0	0	0
0610030E20Rik	0	0	0	0	0	0	0.9	1.1	1.7	2.1	0.2	1.7	0.2	2.3	2.3	1.6
0610031J06Rik	0	4.1	0	4.1	2	2.7	2.8	3.3	3.6	3.9	4.2	5.3	4.3	4.7	5.3	5.2
0610037L13Rik	4	4	4	4	1.3	2.2	2.1	2.8	2.8	3.4	0.5	4.7	4	4.6	2.7	5.1
0610038B21Rik	0	0	0	0	0	0	0	0.4	0	0.7	1.6	0.7	0	2	0	0
0610038L08Rik	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0.5	0	0
0610040B10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040F04Rik	0	0	0	0	0	0	0.8	0	1.6	0	0	0	0	0	0	1.3
0610040J01Rik	1	1.8	1	1.8	0	3	0	1.5	0	0	0	0	0	0	2.8	1.4
1110001A16Rik	0	1.7	0	1.7	0	0.8	0	0.4	0	0	4	2.9	1.8	3.9	3.4	4.5
1110001J03Rik	0	4	0	4	4.6	3.7	3.3	2.9	1.9	2	6.6	6.8	5	4.7	6.8	6
1110002L01Rik	0	0	0	0	0	1.2	0.9	0.6	1.8	0	0.7	0	2.4	1.9	2.3	1.8
1110004E09Rik	0	3	0	3	0	0.9	0.4	1.4	0.8	1.8	2.9	3.2	2	2.8	3.3	3.7
1110004F10Rik	3	3.4	3	3.4	1.4	2.9	3.3	3.7	5.1	4.5	4.5	5.5	5.1	6.6	4.7	5
1110006O24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110007C09Rik	0	0	0	0	0	0	1.4	2.5	2.8	4.9	2.9	5	2.5	2.9	4.8	4.7
1110008F13Rik	0	4.5	0	4.5	0	0	0	1.8	0	3.5	3.5	4.5	2.5	4.6	3.5	4.8
1110008J03Rik	0	2.8	0	2.8	0	2.8	1.1	1.8	2.1	0.7	2.5	3.3	0	2.6	0.6	3.3
1110008L16Rik	0	1.5	0	1.5	0	0.6	0	0.3	0	0	0	1.6	1.4	2	0.3	0.8
