Genes	1AP	2A	2P	3A	3P	4A	4P	5A	5P	6A	6P	7A	7P	8A	8P
March1	1	0.2	0.9	0	0.9	0.4	0.8	0.7	0.1	0.4	0	0.3	0	0	0.4
March2	2	2.1	3.4	3.4	3.1	3.4	2.8	3.3	3.2	3	2.7	2.1	3	2.1	3.6
March5	4.5	4.9	5.2	5.2	5	5	4.8	4.8	5.3	5	5.1	4.6	5.2	5.2	4.9
March6	2.4	2.7	2.8	3.3	3.1	3.2	3.4	3.1	3.4	3.1	2.8	3.3	2.8	3	3.3
March7	3.2	3.4	3.6	3.2	3.9	3.7	4.2	4.1	3.4	3.3	3.7	3.5	4.1	3.8	4.2
March8	1	1.6	0.8	1.8	0.7	1.8	0.5	1.8	1.7	1.6	1.9	1.2	2.1	1.6	2.1
March9	0	1.1	0.6	2	1.1	1.9	1.5	1.7	0.9	2.1	0.9	1.2	0.4	1.7	0.6
March11	0	0.6	0	0.3	0.3	0.2	0.5	0	1.1	0.3	0.7	1.5	1	0	0.2
Sept1	0	0.8	0	0.4	0.2	0.5	0.3	0.6	0	0.3	1.3	0.6	0.6	0.7	0.7
Sept2	4.6	5.1	5.3	5.2	5.3	5.3	5.2	5.4	4.8	5.5	5.2	5.5	5.7	5.4	5.4
Sept3	1.3	2	1.6	1.5	1.3	1.7	0.9	1.8	1.6	1.4	1.7	1.1	1.1	1.4	1.9
Sept4	1	0	0.5	0.6	0.6	0.3	0.7	0	0	0	0.2	0	0.3	1.5	0.4
Sept6	2	2.3	2	2.5	2.2	2.6	2.3	2.6	2.5	2.4	2.1	3	2.7	2.7	2.1
Sept7	5.3	5.9	6.3	6	6.3	6	6.2	6	6.1	6.2	6.3	6.3	5.8	5.9	6.3
Sept8	1.2	1.3	1.6	1	1.5	0.9	1.3	0.8	1.7	1.2	1.8	1.5	2.2	1.6	1.9
Sept9	2.8	2.8	4.1	3.3	3.8	3.6	3.4	3.8	3.5	3.8	3.8	3.7	4.1	4.4	4.5
Sept10	1.3	2.2	2.4	2.8	2.5	2.6	2.6	2.4	2.7	3.2	2.5	2.6	2.7	3	3.4
Sept11	3.7	4.6	4.4	4.5	4.4	4.7	4.3	4.8	4.5	4.9	4.4	5.1	4.5	5.1	4.4
Sep15	5.4	6.5	6.6	6.8	6.8	6.9	6.9	6.9	6.8	7.1	7.1	7	7.1	7.2	7.1
0610005C13Rik	0	0	1.2	0	0.6	0	0	0	0	0.5	0.8	0	0	0.7	0.3
0610007N19Rik	0	1.3	0.6	1.3	1.5	1.5	2.4	1.7	0.6	1.4	1.6	1.8	2.4	2	2.6
0610007P14Rik	3.9	4.1	5.2	5.1	4.9	5.2	4.6	5.2	5.2	5.2	5.5	4.9	5.5	5.2	5.9
0610009B22Rik	2.9	5.2	5.5	6	5.4	5.7	5.3	5.3	4.9	5.9	5.9	5.8	5.6	5.9	5.8
0610009D07Rik	5.6	6.8	6.8	6.9	6.8	7	6.8	7	7	7.1	7.2	7	7	7.1	7.1
0610009L18Rik	1.3	0	0	0	0.4	0	0.8	0	0.8	0	0.6	0	1.7	1.2	0
0610009O20Rik	2.2	3.3	3	3.4	3	3.3	2.9	3.2	3.1	3.5	3.6	2.5	3.9	4.1	3.3
