Cell	Germlayrer	Top-1	Top-2	Top-3	SRCC-1	SRCC-2	SRCC-3
E675_cell_27	Ect	4A	3A	5A	0.609474933	0.607627378	0.590016881
E675_cell_13	Ect	6A	7A	4A	0.677151041	0.592240846	0.570169536
E675_cell_15	Ect	6A	2P	8A	0.547544885	0.525901671	0.517718423
E675_cell_16	Ect	6A	8A	2A	0.419975974	0.419264825	0.409909173
E675_cell_25	Ect	2A	6A	4A	0.552762928	0.52056976	0.5171733
E675_cell_19	Ect	6A	7A	3A	0.467002317	0.446202418	0.442093303
E675_cell_20	Ect	6A	7A	4A	0.569319288	0.530766232	0.527140748
E675_cell_11	Ect	2A	7A	5A	0.525234134	0.492340157	0.474990011
E675_cell_14	Ect	2A	6A	7A	0.54771547	0.508208192	0.507424652
E675_cell_8	Ect	6A	7A	4A	0.580939461	0.557006278	0.498424986
E675_cell_12	Ect	6A	7A	4A	0.578801503	0.565935861	0.544200406
E675_cell_21	Ect	2A	7A	5A	0.525321885	0.492484772	0.475141714
E675_cell_24	Ect	6A	4A	7A	0.608730193	0.574651238	0.572435997
E675_cell_10	Ect	6P	7P	5P	0.602488972	0.601047864	0.565279277
E675_cell_7	Ect	6A	7A	8A	0.665608298	0.587126486	0.577224704
E675_cell_18	Ect	6A	7A	8A	0.535312607	0.510198232	0.492786687
E675_cell_23	Ect	6A	7A	8A	0.642738665	0.622644557	0.597054383
E675_cell_5	Ect	8A	6A	7A	0.481926721	0.475744322	0.444666444
E675_cell_3	End	6EA	6EP	8EA	0.621662306	0.600116884	0.584000633
E675_cell_9	End	6EA	6EP	7EA	0.659056403	0.628571463	0.585650338
E675_cell_22	End	6EA	8EA	6EP	0.596822389	0.568254716	0.557007896
E675_cell_26	End	6EA	6EP	8EA	0.666852705	0.626495139	0.614084349
E675_cell_28	End	6EA	6EP	8EA	0.596395531	0.557595262	0.526195551
E675_cell_17	End	6EP	7EA	6EA	0.506715671	0.501749547	0.495384603
E675_cell_30	End	6EP	6EA	8EA	0.591326842	0.568674003	0.561148353
E675_cell_32	End	6EP	8EA	6EA	0.680970854	0.651801801	0.641509513
E675_cell_6	End	7EA	8EA	6EA	0.587409886	0.573483457	0.565643374
E675_cell_1	End	8EA	6EA	8EP	0.525675147	0.508786335	0.498491956
E675_cell_4	End	8EA	8EP	6EA	0.709573228	0.697668937	0.692835603
E675_cell_29	End	8EA	6EA	6EP	0.741762689	0.721543622	0.721539123
E675_cell_31	End	8EA	6EA	6EP	0.541194073	0.513712617	0.50320632
E675_cell_2	End	8EP	8EA	6EA	0.605661242	0.602366691	0.594609799
