Genes	1AP	2A	3A	4A	5A	6A	7A	8A	2P	3P	4P	5P	6P	7P	8P	2EA	2EP	3EA	3EP	4EA	4EP	5EA	5EP	6EA	6EP	7EA	7EP	8EA	8EP
0610005C13Rik	0	0	0	0	0	0.5	0	0.7	0.98	0.45	0	0	0.8	0	0.3	0	0	0	0	1.4	0.7	2.8	1.4	0.8	5.2	4.1	4.6	5.2	5
0610040B10Rik	0	1.8	0	0	0	0	0	1.7	1.79	1.78	1.48	2.6	1.9	3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	2.8	3.2	3.4	3.8	4.1	3.3	3.5	3.9	3.49	2.75	2.38	1.1	2.6	2.9	2.4	2.8	3	0	3.5	0	3.5	0	3.4	0	2.4	0	1.5	3.2	0
1600015I10Rik	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	1.9	0	1	2.1	0	4.1	0	0	0	0	0	0
1600029D21Rik	1.4	0.7	1.1	0.6	0	0.2	0.4	3.3	1.38	0.85	0.33	0.7	0.5	1	1	2	4	1.2	0.6	3.3	2.4	5.3	4.1	1	2.1	2.4	0.4	0.5	1.8
2310010J17Rik	2.9	1.4	0	0	0	0	2.1	4.1	3.36	3.25	3.03	3.4	1.8	1.4	2.4	0	0	0	0	0	1.2	0	2.3	0	0	0	5.6	0	2.5
2310069G16Rik	0	2	1.4	2.1	2.8	0	1.9	1.8	1.69	0.98	0.23	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4933402E13Rik	0.8	0	0.5	0.5	0.5	1.3	0.2	2	0.08	0.28	0.28	1.1	0.9	0.6	0.9	0	0	0	1.2	0.7	2.1	1.4	2.9	2.9	5.4	3.7	5.2	5.1	5.5
4933438K21Rik	2.8	0.9	1.4	1.6	1.7	1	0.5	0.4	0.9	0.68	0.6	0	0.2	0.3	1.4	3	0.9	2.7	2.4	1.7	1.5	0.6	0.6	1.4	0.6	0	0	0	0
5730457N03Rik	0	0	0	0	0	0	0	1.2	0.14	0.45	0.53	1.5	2.3	3.5	2.9	0	0	0	0	0	0	0	0	2.2	0	0	3.1	0	0.7
A130077B15Rik	6.8	5.5	5.2	5.2	5.2	4.8	4.4	4.1	5.14	5	4.93	4.4	4.4	4.2	4.2	6.4	6.7	7.1	7.3	6.6	6.9	6.1	6.4	6.1	4.9	5.8	5	4.9	4.8
A630001G21Rik	0.5	0.5	0.7	0.4	0	0.2	0	0.5	1.45	1.55	1.4	2.3	1.7	1.2	1.6	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0
Acaa2	1	1.7	3	2	1	2.8	2.3	2.8	2.55	2.43	2.2	2.8	3.9	2.8	3.1	4.1	3.3	0	0	1.4	0.8	2.7	1.5	3.7	5.8	3.1	5	5.6	5.2
Adamts9	0	0	0	0.1	0.1	0.3	0.1	1.1	0.39	1.05	1.43	2.1	1.7	1.1	0.7	0.7	2.1	1	1.6	1.4	2.1	1.7	2.6	0	1	0	0.6	0.2	0.2
Adm	3.2	0	0	0	0	0.3	0.3	0	1.68	1.15	0.4	1.6	0	0	0	0	5.8	0	1.9	3	3.4	6	4.9	0	0	1.8	0	0.9	0
AI661453	0.5	0.6	0.8	1	1.2	0.9	1.2	1	1.22	1.25	1.25	1.1	1.1	0.8	0.3	2.7	1.2	0	2	1.2	2.1	2.3	2.2	0.4	1.3	0	0.9	0.3	0
Amd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	0	4.1	0	2.1	0	0	0	0	0	0	0	0	0
Anxa5	0.5	0	1.9	1	0	0.5	1.6	4.1	0.18	0.6	0.6	2.4	1.8	2.5	1.6	0	4	4.6	1.4	3.9	2.9	3.1	4.4	1.4	0	0	1.8	2.2	2.4
Apln	0.9	0	0.6	1.1	1.5	1.1	1.9	1.2	1.93	2.7	3.08	4.5	5.2	4	3.9	0	0	0	0	0	0	0	0	1.6	4.2	1.2	4.1	3.2	3.2
Apoa1	1.8	0.5	1.5	1.3	1.1	2.5	2	2.9	2.53	2.13	1.53	2.8	3	1.9	1.2	6.3	7.6	7	7.1	7.9	7.8	8.7	8.4	10.5	11.2	10.5	9.3	11.8	11.6
Apoa2	1.5	4.1	3.4	3.1	2.8	3.8	2.9	2.1	2.69	2.65	2.43	3.1	2.5	2.3	2	0	0	0	0	0.9	2.1	1.7	4.1	4	5.1	4.2	4	5.8	6
Apoa4	0	0	0	0	0	0	0	0.2	0.04	0.13	0.13	0.5	0	1.2	0	1.1	2.5	0	3.2	2.4	3.2	4.7	3.1	5.2	6.7	4.8	5.9	7.3	7.6
Apoc2	0	0	0	0	0	0	1.9	5.3	1.68	1.88	1.88	2.7	4.2	4.8	2.2	3.1	4.6	0	5.7	3	6.8	5.9	7.8	8.8	10.3	8.1	9.5	11.3	11.6
Apoc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	5.7	1.3	4.6	5.3	4.7	4.9	3.6
Apom	1.2	0.7	0.8	0.4	0	0.6	0	0.6	2.09	2.05	1.75	2.8	2.3	2.7	0	5.7	6	4.8	6.4	5.6	7.3	6.4	8.1	8	9.8	8.5	8.1	9.9	10.5
Arhgef26	0.9	0.8	0.7	1	1.2	0.5	0.5	0.8	1.21	1.93	2.38	3.2	3.5	2.2	2.3	2.1	1.8	0.5	2	0.5	1.7	0.4	1.3	0.5	2.3	0.1	2.4	0.9	0.4
Axin2	0	0.6	0.4	0.6	0.8	0.6	1.8	2.1	1.67	2.3	2.53	3.8	3.3	3.4	3	0	0	0	0.9	0	1.2	0	1.4	0.8	1.8	0	2.6	1.2	0.6
Bend5	0.5	1.8	2	1.7	1.3	0.9	1.3	1.1	1.9	1.68	1.3	1.9	1	2.1	2.4	0	3.3	0	0	0	0	0	0	4.4	2.5	3.2	3.5	3.9	3.2
Bnip3	4.3	4.9	5.4	5.9	6.3	5.9	6.2	5.6	4.76	4.68	4.68	4.3	4.1	5.3	4	0	0	4.1	0	3.9	0.9	3.6	1.8	2.9	3.9	4.9	4.2	5.1	3.9
Car7	0.6	1.1	0	0.5	1	0	0.3	1.6	0.25	0.83	1.58	0	0.6	0	1.1	0	0	0	0	0.7	0	1.4	0	2.7	5.3	2.5	5.7	6	6
Ccno	0	0.5	0	0.4	0.7	0	0.2	0	0.29	0.98	1.28	2.7	1.6	1.8	2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd40	0	0.3	1	1.3	1.5	0.9	0.3	0.7	0.84	1.18	1.25	2	1.3	2.5	0	0	0	0	0.7	0	0.4	0	0	3.7	4.7	1.6	2.8	3.7	2.8
Cda	1	1	0.7	0.9	1	2.5	1.5	4.6	3.99	3.5	2.98	3.5	3.9	4.1	3.9	0	0	0	0	1.5	0	3	0	0	0	3.4	0	4.2	3.3
Cdh5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0.6	0	1.8	0.6	3	1.2	0.2	0	0	0	0.1	0
Cfc1	1.4	2	2.3	1.6	0.8	2	2.9	3.1	1.03	1.58	2.03	1.8	2.7	4	3.7	0	0	3.9	1.5	2.9	0.8	1.9	0	6	4.5	6.3	3.6	7.1	5.5
Cited1	1.7	1.9	0	1.1	2.1	3.5	4.2	5.1	2.92	2.73	2.5	2.8	3	3.6	3.1	4.2	5	0	4	3.4	5.2	6.8	6.4	7.3	8.6	7.4	7.6	9.1	7.8
Cldn4	0.9	2.5	2.5	2.8	3	2.6	2.6	2.7	2.29	1.55	1.03	0.5	0.6	0.3	2.2	0	0	0	0	0.5	0	0.9	0	0	0	1.6	0	0	0
Cmtm8	4	4.9	5.3	5.4	5.4	4.9	3.8	4.8	4.3	4.05	3.98	3.3	3.3	3.6	4.1	4	0	3.7	0	3.6	0.5	3.5	0.9	2.8	4.3	4.4	1.7	4.5	3.1
Cntf	0	0	0.1	0.1	0	0	0.4	1.2	2.07	2.23	2.53	1.7	1.7	1.2	1	0	0	0	0	0	0	0	0	0	2.8	0	2.4	0	0
Cpa2	1.1	0	2.6	2.4	2.1	2.3	2	0.6	0.7	0.45	0.15	0.6	1	0	0	4	1.1	1.5	0	0.8	1.8	0	3.6	0	4	0	0	0	3.2
Crabp2	2.9	5.2	5.2	4.8	4.4	4.7	4.8	4.7	4.39	3.9	3.53	3	3.2	4.1	3.9	0	0	0	0	0	0	0	0	0	0	0	1.6	3.3	2.5
Crb3	3.3	4.1	4.3	4.2	4.1	5	4.5	4.6	3.96	3.18	2.95	0.4	1.5	3.8	3.5	0	3.4	0	3.5	1.9	3.7	3.8	3.8	5.4	4.6	4.6	2.5	4.3	3.3
Cts7	2.7	0	0	0	0	0	0	0.7	0	0	0	0	0	0	0	2.6	4	4.1	0	2.4	2.6	0.7	5.2	0	0	0	0	1.3	0
Cts8	0.7	0	0	0.2	0.4	0.5	0	0	0	0	0	0	0	0	0.4	0	1.4	0	0	1.2	1.8	2.3	3.5	0	0	0	0	0	0
Cxx1a	1.2	0.9	0.7	0.8	0.9	2.3	2.9	2.8	1.48	2.35	2.88	4	3.7	4.2	4	3.8	0	0	0.8	0.6	1.1	1.2	1.3	1	2.8	2.7	3.6	2.4	3.4
Cxx1b	1.8	1.7	1.9	2.1	2.2	3	2.6	2.6	2.56	3.4	3.93	4.9	4.7	4.5	4.2	2.9	0	0	2	1.5	1.9	2.9	1.7	4	4.5	0	4.3	3.4	4.5
Cxx1c	1.5	1.4	0.6	1.3	2	2.9	3.2	3.4	2.69	3.38	3.75	4.8	5	4.7	5.2	2.9	0	0	1.6	1	1.3	2	1	2.5	2.8	1.8	5.2	4	4.6
Cyba	1.1	3.5	3.7	3.8	3.9	4.6	4.1	4.9	3.76	3.68	3.6	3.3	3.5	3.4	3.8	0	2.5	0	0	0.6	2.6	1.2	5.2	5	6.8	3.9	4.2	7.1	6
Dact1	1	0.1	0.5	0.8	1	1.1	1.7	1.7	1.23	1.75	2.13	2.5	3.3	2.8	3.2	0	0	0	0.6	0	0.9	0	1.2	0	1.3	0	3	0	0
Ddit4	0.5	1.1	2.2	2.1	1.9	1.7	2.8	2.7	0.52	0.55	0.48	1	0.8	0.7	1.2	0	0	1.2	0	0.6	0	0	0	0.8	0	1.4	1.7	0	0
Dpp7	0.5	1.2	1	1.5	2	1.9	3.1	0.4	1.99	1.95	1.88	2.1	2.1	2.3	1.9	0	0	0	0	1.3	1.5	2.5	3	3.8	5.2	3.2	3	4	4.5
Efna3	0	0	0.8	0.6	0.4	1.1	1.3	2	1.18	1.83	2.43	2.2	3.8	2.8	3.7	0	0	0	0.8	0	0.4	0	0	0	0	0	3.5	1	2.8
Efnb1	0.3	0.1	0	0	0	0	0.1	0.8	0.12	0.15	0.08	0.3	0.3	0.3	0	0	0.5	0	0.8	1.4	1.3	2.7	1.8	3.4	4.7	3	3.8	4.2	5.2
Elovl1	0	2.6	2.1	1.9	1.7	2.3	2.7	3.7	2.62	2.68	2.75	2.3	3.2	2.7	3.2	0	3.2	0	0.7	1.3	1.4	2.5	2.1	4.8	5	3.4	3.8	5	4.7
Enc1	2.7	3.3	3.8	3.8	3.8	3.7	3.3	3.5	3.23	2.83	2.75	1.4	1.8	2.3	2.5	3.2	2.3	0	0	0	0	0	0	0.8	0.2	1.3	1.3	0.1	1.1
Eomes	2.2	1.7	2.1	2.6	3	3.8	4.6	4.8	3.99	5.13	5.88	7	6.9	6.9	6.6	2.4	3.2	3.5	3.8	3.6	3.5	3.7	3.2	3.6	5.1	3	5.9	3.3	4.9
Epha2	1.6	2.2	1.9	2	2	1.9	1.8	2.3	3.27	3.68	3.83	4.8	4.2	3.6	2.7	0	2.3	1.4	1.8	0.7	2.5	0	3.1	0.9	2.2	0.6	1.7	0.8	1.6
Ephb3	1.7	1.2	0.9	1.2	1.5	1.7	1	1.5	1.52	1.55	1.63	1.4	1.3	1.3	1.7	3.5	1.4	3.1	1.9	2.6	1.3	2.1	0.7	0.3	0.1	0.2	0.8	0.1	0
Fabp3	3	4.3	3.6	4	4.4	4.8	4.3	6.9	4.31	3.88	3.35	3.8	4.2	4.4	4	8	7.8	4.2	6.4	4.7	7.1	5.1	7.8	4.7	4.6	1.6	4	5.3	5
Fgf4	2	2.3	2.8	2.5	2.1	2.6	2.3	1.8	1.44	1.08	0.85	0.4	0.1	0.3	1.3	0	0	0	0.4	0	0.2	0	0	0	0	0.2	0	0	0.2
Fgf8	0	1.8	1.5	2.3	3	3.9	4.4	5.2	5.18	6.05	6.65	7.1	7.5	6.9	7.1	3.9	3.6	4.2	4.7	3.8	5	3.3	5.3	3.3	5.1	3.2	6	0	4.2
Flot1	0.9	1.9	2.4	2.1	1.7	2	2	3.4	1.77	1	0.18	0.7	0.8	1	0.2	3.3	0	0	0	0	0	0	0	3.8	0	3.1	0.7	3.6	2.1
Foxa2	0.4	0	0.3	0.2	0	2	1	1.1	1.5	3.38	4.8	5.7	4.8	2.5	0.5	3.3	3	0	3.6	1.7	3.5	3.3	3.4	2.5	5.1	4.4	3.9	4.3	3.1
Frzb	0	0.9	0.2	0.1	0	0.7	0.3	1.4	0.82	1.58	1.88	3.3	4.7	3.2	3.9	0	0	0	0	0	0.2	0	0.4	1.6	2.9	2.5	3.9	1.3	2.9
Fst	1.2	1.5	1.1	1.9	2.6	3.3	3.1	3.5	2.48	4.05	5.03	6.6	7.5	6.5	6.4	5.6	5.6	2.5	3.5	2.4	4.6	2.3	5.6	1.4	5.4	2.2	5.9	3	4.8
Fxyd2	0	0	2	1	0	0	0.9	1.7	0	0	0	0	2.2	1.4	0	0	0	0	0	0	0	0	0	4.2	6.6	3.7	5.3	6.8	3.3
Fxyd5	1.4	0.5	0	0.3	0.5	1	0.4	2.8	2.07	2	1.85	2	0	1.9	1.2	0	4.1	2.4	0	3.3	1.9	4.1	3.8	1.2	1.7	0	0	0.9	0
Gadd45b	0	0	1.6	0.8	0	0.6	2.8	1.5	0.44	0.53	0.68	0	0.5	0.7	0	2.1	2.2	4	3.2	2	3.8	0	4.3	0	0.4	1.2	0	3	0
Gdap10	1	1	2	2.3	2.5	2.7	2.4	2.3	0.88	1.05	1.43	0.3	0.4	1.3	2.3	0	0.6	0	0	0.9	0.2	1.7	0.4	0.5	0	1.1	1	2.8	0.2
Gm10413	0.9	0.5	0.9	0.5	0	1.6	0	0	0.09	0.3	0.6	0	0.9	0	0.5	4	0	0	4.8	0.8	2.4	1.5	0	0	0	0.7	0	0	0
Gm129	1.4	3.1	3.1	3.4	3.6	3.9	2.9	4	2.92	2.73	2.5	2.5	1.6	2.2	0.9	0	0	0	0	0	0.8	0	1.6	1.7	0	0.5	0	3.2	0
Gm5795	3.1	2	2.3	2.4	2.4	1.5	1.1	0.4	0.6	0.83	1.28	0	0.6	2.1	2.1	1.7	3.7	1.8	4.6	3.1	3.9	4.3	3.2	2.5	1	0.7	0.7	0.9	0
Gm5797	1.4	1.6	2.1	1.3	0.5	1.7	1.5	1.2	0.22	0.73	1.18	0.8	0.3	1.1	1.4	0	2.1	3.5	4.2	3.4	3.6	3.3	3	1.5	1.5	2.2	0	0.9	0.6
Gm9513	0	0	0	0	0	0	0	0	0.14	0.48	0.48	1.9	0	0	0	0	7.6	0	0	2.1	1.4	4.2	2.8	0	0	0	0	0	0
Gm9846	8.4	0.4	0.6	0.5	0.4	0.5	0.5	0.9	2.06	1.5	1.05	0.9	1.4	0.8	0.6	8.8	1.2	10.3	4.2	10.2	3.1	10	2	1.2	1.3	3.5	1.4	2.2	0.4
Gngt2	2.2	2.7	3	3.5	4	2.9	3.7	3.7	2.85	2.28	1.45	3.1	2	3.2	0.7	0	4.2	0	0	0	0	0	0	0	0	0	2.9	0	0
Gnmt	0	2	2.3	1.7	1.1	2.4	2.2	1.4	0	0	0	0	0.8	2.4	0	0	0	0	0	0	0.5	0	0.9	0	0	0	0	0	0
Grem2	0	0	0	0.1	0.1	0	0	0	0.58	0.3	0	0	0	0	0	0	3.1	0	2	1.1	2.5	2.1	3	0	0	0	0	0	0
Grp	0	1.8	2.3	2.2	2	2.8	1.9	0	1.97	1.43	1.13	0	0.4	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grrp1	1.2	0.7	0	0	0	0.6	2.5	2	0.58	1.93	2.68	4.4	4.4	4.1	4.5	0	0	4.1	0	2.1	1.4	0	2.8	1.3	0.5	1.9	3.7	0	1.6
Grtp1	2.5	1.3	2.2	2.7	3.1	3	3.1	2.8	2.65	2.05	1.53	1.6	2.4	3.2	2.6	0	0	0	1.7	0.8	0.9	1.6	0	3.1	5.2	2.4	3.6	5.2	5.9
Gsc	1.6	0	0.5	0.6	0.7	2.4	1.9	1.9	3.1	3.55	3.48	5.5	6.1	4.7	4.8	4.2	3.2	4.9	4.3	3.5	4.2	2	4	2.1	3.1	0	4.9	0.4	2.7
Has2	1	0.6	0.3	0.8	1.2	0.7	2	1.9	0.96	0.85	0.7	1	1.3	2.2	2.1	0	0	0	0.7	1.1	1.3	2.1	1.9	3.2	3.2	4.9	3.8	4.7	3.1
Hnf4a	0.2	0	0	0.1	0.1	0.6	0.9	1.5	0.02	0.08	0.08	0.3	0.1	0.8	0.3	1.8	1	0	1.4	1.5	1.4	2.9	1.3	3.8	4.1	3.4	3.9	5.2	5
Hsd17b2	0	0	0	0	0	0	0.9	0	0.74	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	2.6	2.8	1.7	4	4
Htr3a	0	2	1.4	1.6	1.8	0.4	0.4	1.8	0.09	0.3	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Id1	0	0	1	1.5	1.9	4.9	6.5	7.4	0.27	0.9	0.9	3.6	4.2	5.7	7.1	0	0	0	0	2.7	1.6	5.3	3.1	5.6	6.1	5.7	6.3	7.2	7.2
Id2	1.2	1.6	1.4	2	2.5	4.5	5.5	6.9	2.38	1.88	1.2	2.1	2.9	4.7	5.9	1.4	2.2	0	0	2.1	2.2	4.2	4.3	3.3	5.3	4.8	5	6.8	5.3
Ier3	0.8	1.1	0.5	1.8	3	2.7	2.2	3.2	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0
Ifi27l2a	0	2.8	3.5	3	2.5	3.3	2.4	3.2	3.13	2.03	1.28	0	1.4	1.1	3.1	0	0	0	0	0	0	0	0	0	0	3.5	3	0	0
Klk13	2.1	1.9	2	2	1.9	0.4	1.9	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
