Genes	E675_cell_1	E675_cell_2	E675_cell_3	E675_cell_4	E675_cell_5	E675_cell_6	E675_cell_7	E675_cell_8	E675_cell_9	E675_cell_10	E675_cell_11	E675_cell_12	E675_cell_13	E675_cell_14	E675_cell_15	E675_cell_16	E675_cell_17	E675_cell_18	E675_cell_19	E675_cell_20	E675_cell_21	E675_cell_22	E675_cell_23	E675_cell_24	E675_cell_25	E675_cell_26	E675_cell_27	E675_cell_28	E675_cell_29	E675_cell_30	E675_cell_31	E675_cell_32
0610005C13Rik	0	0	3.64	5.28	0	7.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05	3.13	0	0	6.28	0	0.22	5.335	0	0	1.76
0610040B10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	0	0	2.575	0	5.69	0	2.53	2.63	4	0	4.13	0	2.365	0	4.07	0	3.81	0	0	0	4.79	5.15	0	3.94	0	4.89	4.71	3.72	5.01	5.4	0	5.74
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029D21Rik	0	0	3.92	5.61	0	0	0.11	0	3.56	0	0	0	0	0	0	2.98	0	0	0	0	0	3.88	0	0	0	2.99	0	0	3.644	0.99	0	4.96
2310010J17Rik	0	0	0	0	0	0	4.54	0	0	0	6.24	0	0	0	3.29	0	0	0	0	0	6.9888	0	0	0	0	0	4.32	2.4	0	0	0	0
2310069G16Rik	0	0	0	0	0	0	0	0	0	0	4.81	0	0	0	0	0	0	0	0	0	5.3872	0	0	0	0	0	0	0	0	0	0	0
4933402E13Rik	0	0	1.4	3.22	0	0	0.21	3.87	4.6	0	1.96	2.22	2.215	0	1.67	0	2.92	2.62	0.14	2.96	2.1952	0	2.75	1.16	0	4.56	0	0	5.616	0.21	8.35	6.39
4933438K21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5730457N03Rik	0	4.92	0	5	0	0.24	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0
A130077B15Rik	5.53	0.88	1.29	3.95	4.62	5.48	2.18	2.64	1.47	2.07	2.4	1.59	2.045	2.06	3.22	0.19	0.11	1.37	1.62	2.6	2.688	1.36	1.84	3.03	2.67	2.52	1.45	1.75	2.538	1.7	2.96	2.29
