Cell	Celltype	Location_Smooth	X	Y	Z	T	Pou3f1	Mixl1	Mesp1	Sox17	Nodal	Bmp4	Eomes	Wnt3	Wnt3a	Fgf8	Celltype_Number
cell_6655	Epiblast	1A	-6.13E-01	-1.18E+00	1.27E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_5822	Epiblast	1A	-1.02E-01	-5.44E-01	1.15E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6100	Epiblast	1A	-1.20E+00	6.78E-01	5.76E-01	0	1.58	0	0	0	1	0	0	0	0	1.58	1
cell_6238	Epiblast	1A	1.32E-01	-9.82E-01	5.76E-01	0	2	0	0	0	0	0	0	0	0	1	1
cell_6309	Epiblast	1A	-9.14E-02	-1.07E-01	8.38E-01	0	1.58	0	0	0	0	0	0	0	0	2.32	1
cell_6261	Epiblast	1A	-4.91E-01	4.70E-01	7.96E-01	0	3	0	0	0	0	0	0	0	0	0	1
cell_7508	Epiblast	1A	-1.32E-01	-6.41E-01	9.47E-01	0	0	1	0	0	0	0	1.58	1	0	2	1
cell_7510	Epiblast	1P	5.02E-01	1.22E+00	1.09E+00	0	1	0	0	0	1	0	0	0	0	0	1
cell_5457	Epiblast	1P	-1.14E-01	7.85E-01	7.37E-01	0	2.58	0	0	0	0	0	1.58	0	0	1	1
cell_6053	Epiblast	1P	4.68E-01	2.11E-01	7.32E-01	0	1.58	0	0	0	1	0	0	1	0	3.17	1
cell_7126	Epiblast	1P	-1.11E-01	1.24E+00	1.18E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_5538	Epiblast	1P	1.13E+00	8.22E-01	1.04E+00	0	2	0	0	0	0	0	1.58	0	0	0	1
cell_5705	Epiblast	1P	-2.05E-01	1.39E+00	1.04E+00	0	1.58	1	0	0	0	1	1	0	0	3.17	1
cell_5743	Epiblast	1P	-8.84E-03	3.58E-01	9.45E-01	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_5831	Epiblast	1P	1.03E+00	2.61E-01	1.23E+00	0	2	0	0	0	0	0	1	0	0	0	1
cell_7159	Epiblast	1P	7.74E-01	-6.00E-01	7.58E-01	0	2	0	0	0	0	0	0	0	0	0	1
cell_5812	Epiblast	2A	1.31E+00	-1.45E+00	2.50E+00	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5952	Epiblast	2A	1.05E+00	-1.13E+00	1.64E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7594	Epiblast	2A	-4.53E-01	-8.66E-01	1.72E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_5520	Epiblast	2A	1.18E+00	-1.57E+00	2.44E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_6351	Epiblast	2A	4.93E-01	-1.70E+00	2.12E+00	0	1.58	0	0	0	0	0	1.58	0	0	1.58	1
cell_6542	Epiblast	2A	-8.61E-01	-7.65E-02	2.19E+00	0	2.32	0	0	0	1.58	0	1.58	1	0	2.32	1
cell_6869	Epiblast	2A	3.78E-02	-1.04E-01	2.38E+00	0	2.32	0	0	0	0	0	0	0	0	3.17	1
cell_7122	Epiblast	2A	-1.47E+00	-5.06E-01	2.46E+00	0	3.17	0	0	0	0	0	1	0	0	1	1
cell_7215	Epiblast	2A	-1.39E+00	1.20E+00	2.31E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7366	Epiblast	2A	-6.67E-01	-2.94E-01	2.06E+00	0	2.32	1	0	0	0	0	0	0	0	0	1
cell_5595	Epiblast	2A	-2.44E-01	-1.38E+00	2.29E+00	0	1	0	0	0	0	0	0	0	0	2	1
cell_7196	Epiblast	2A	2.12E-01	-1.28E+00	2.44E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7494	Epiblast	2A	-1.27E+00	9.32E-01	2.37E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7404	Epiblast	2A	-1.10E+00	-2.10E-02	2.19E+00	0	2.58	0	0	0	0	0	0	0	0	1	1
cell_7434	Epiblast	2A	7.47E-01	-1.74E+00	1.96E+00	0	1	0	0	0	0	1	0	0	0	1	1
cell_7563	Epiblast	2A	-1.24E+00	4.66E-01	2.06E+00	0	1	0	0	0	0	0	0	0	0	2.32	1
cell_5720	Epiblast	2A	-1.04E+00	-1.02E+00	2.02E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6984	Epiblast	2A	-1.69E+00	-7.00E-01	1.99E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
