Cell	Celltype	Location	T	Pou3f1	Mixl1	Mesp1	Sox17	Nodal	Bmp4	Eomes	Wnt3	Wnt3a	Fgf8	Celltype_Number
cell_6655 	Epiblast	1A	0	2	0	0	0	0	0	0	0	0	0	1
cell_5822 	Epiblast	1A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6100 	Epiblast	1A	0	1.58	0	0	0	1	0	0	0	0	1.58	1
cell_6238 	Epiblast	1A	0	2	0	0	0	0	0	0	0	0	1	1
cell_6309 	Epiblast	1A	0	1.58	0	0	0	0	0	0	0	0	2.32	1
cell_6261 	Epiblast	1A	0	3	0	0	0	0	0	0	0	0	0	1
cell_7508 	Epiblast	1A	0	0	1	0	0	0	0	1.58	1	0	2	1
cell_7510 	Epiblast	1P	0	1	0	0	0	1	0	0	0	0	0	1
cell_5457 	Epiblast	1P	0	2.58	0	0	0	0	0	1.58	0	0	1	1
cell_6053 	Epiblast	1P	0	1.58	0	0	0	1	0	0	1	0	3.17	1
cell_7126 	Epiblast	1P	0	2	0	0	0	0	0	0	0	0	0	1
cell_5538 	Epiblast	1P	0	2	0	0	0	0	0	1.58	0	0	0	1
cell_5705 	Epiblast	1P	0	1.58	1	0	0	0	1	1	0	0	3.17	1
cell_5743 	Epiblast	1P	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_5831 	Epiblast	1P	0	2	0	0	0	0	0	1	0	0	0	1
cell_7159 	Epiblast	1P	0	2	0	0	0	0	0	0	0	0	0	1
cell_5812 	Epiblast	2A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5952 	Epiblast	2A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7594 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	0	1
cell_5520 	Epiblast	2A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6351 	Epiblast	2A	0	1.58	0	0	0	0	0	1.58	0	0	1.58	1
cell_6542 	Epiblast	2A	0	2.32	0	0	0	1.58	0	1.58	1	0	2.32	1
cell_6869 	Epiblast	2A	0	2.32	0	0	0	0	0	0	0	0	3.17	1
cell_7122 	Epiblast	2A	0	3.17	0	0	0	0	0	1	0	0	1	1
cell_7215 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7366 	Epiblast	2A	0	2.32	1	0	0	0	0	0	0	0	0	1
cell_5595 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	2	1
cell_7196 	Epiblast	2A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7494 	Epiblast	2A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7404 	Epiblast	2A	0	2.58	0	0	0	0	0	0	0	0	1	1
cell_7434 	Epiblast	2A	0	1	0	0	0	0	1	0	0	0	1	1
cell_7563 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	2.32	1
