Cell	X	Y	Z	BMP
cell_6637	2.75E+00	1.97E+00	8.49E+00	1
cell_6178	-1.20E+00	2.50E+00	8.49E+00	1
cell_6236	-2.08E+00	3.03E+00	8.49E+00	1
cell_6733	1.39E+00	7.29E-01	8.49E+00	1
cell_6966	1.85E+00	-9.40E-01	8.49E+00	1
cell_6808	2.22E+00	-8.32E-01	8.49E+00	1
cell_6476	2.90E+00	1.52E+00	8.48E+00	1
cell_5737	-9.90E-01	3.68E+00	8.46E+00	1
cell_7096	-1.16E+00	3.76E+00	8.46E+00	1
cell_5840	9.58E-01	1.77E+00	8.46E+00	0.90526316
cell_6566	5.33E-01	2.96E+00	8.45E+00	0.90526316
cell_7285	3.90E+00	-1.67E-02	8.44E+00	0.90526316
cell_5842	3.08E+00	1.77E+00	8.43E+00	0.90526316
cell_6387	3.51E+00	-2.25E-01	8.43E+00	0.90526316
cell_5750	-1.99E+00	2.06E+00	8.42E+00	0.90526316
cell_7139	3.19E+00	1.92E+00	8.42E+00	0.90526316
cell_5550	2.85E+00	-2.44E+00	8.42E+00	0.90526316
cell_5618	-6.59E-01	2.81E+00	8.42E+00	0.90526316
cell_5920	3.72E+00	3.62E-01	8.41E+00	0.90526316
cell_6586	1.93E+00	2.57E+00	8.41E+00	0.90526316
cell_5659	-2.43E-01	2.78E+00	8.40E+00	0.90526316
cell_6021	6.29E-01	3.00E+00	8.40E+00	0.90526316
cell_6445	1.61E+00	-3.43E-01	8.39E+00	0.90526316
cell_6939	3.70E+00	-1.43E-01	8.36E+00	0.90526316
cell_5456	3.07E+00	2.50E+00	8.36E+00	0.90526316
cell_5488	-1.23E+00	1.56E+00	8.35E+00	0.90526316
cell_5588	6.07E-01	3.50E+00	8.35E+00	0.90526316
cell_5655	2.73E+00	2.71E+00	8.35E+00	0.701754387
cell_6066	2.57E+00	-2.01E-01	8.34E+00	0.701754387
cell_6072	4.14E-01	2.81E-01	8.34E+00	0.701754387
cell_6086	1.16E+00	1.79E+00	8.34E+00	0.701754387
