Cell	X	Y	Z	Bmp4
cell_6637	-2.33E+00	2.83E+00	8.04E+00	1
cell_6178	2.75E+00	1.97E+00	8.49E+00	1
cell_6236	1.16E+00	3.33E+00	7.51E+00	1
cell_6733	2.12E+00	-9.35E-01	7.74E+00	1
cell_6966	3.67E+00	1.76E+00	7.52E+00	1
cell_6808	1.72E+00	3.33E+00	7.94E+00	1
cell_6476	2.73E+00	-1.80E+00	8.05E+00	1
cell_5737	3.08E+00	1.77E+00	8.43E+00	1
cell_7096	2.05E+00	2.15E+00	7.86E+00	1
cell_5840	-1.96E-01	4.10E+00	8.07E+00	0.90526316
cell_6566	-4.98E-01	1.82E+00	7.97E+00	0.90526316
cell_7285	3.71E+00	1.85E+00	8.01E+00	0.90526316
cell_5842	2.78E+00	2.17E+00	7.62E+00	0.90526316
cell_6387	-1.76E+00	3.66E+00	8.18E+00	0.90526316
cell_5750	-2.36E+00	2.49E+00	7.93E+00	0.90526316
cell_7139	2.93E-01	2.92E+00	8.27E+00	0.90526316
cell_5550	-1.36E+00	1.81E+00	7.60E+00	0.90526316
cell_5618	3.87E+00	-3.28E-01	8.03E+00	0.90526316
cell_5920	1.67E+00	6.28E-01	7.74E+00	0.90526316
cell_6586	3.93E+00	-3.84E-01	8.11E+00	0.90526316
cell_5659	-1.32E+00	2.13E+00	7.53E+00	0.90526316
cell_6021	3.92E+00	-7.94E-01	8.24E+00	0.90526316
cell_6445	1.13E+00	3.88E+00	8.02E+00	0.90526316
cell_6939	2.58E+00	9.49E-01	7.50E+00	0.90526316
cell_5456	-1.26E-02	1.05E+00	8.21E+00	0.90526316
cell_5488	3.30E+00	-6.45E-01	8.04E+00	0.90526316
cell_5588	1.80E+00	5.17E-01	7.68E+00	0.90526316
cell_5655	2.74E+00	-8.68E-01	8.21E+00	0.701754387
cell_6066	3.89E+00	-1.42E+00	7.93E+00	0.701754387
cell_6072	1.05E+00	2.73E+00	7.89E+00	0.701754387
cell_6086	1.90E+00	6.56E-02	8.22E+00	0.701754387
cell_6245	-1.99E+00	2.06E+00	8.42E+00	0.701754387
cell_6334	1.65E+00	-1.24E+00	8.00E+00	0.701754387
cell_6615	1.22E+00	1.37E+00	7.58E+00	0.701754387
cell_6930	-1.16E+00	3.37E+00	8.26E+00	0.701754387
cell_7007	1.74E-01	1.23E-01	7.90E+00	0.701754387
cell_7105	5.47E-01	7.08E-01	7.73E+00	0.701754387
cell_7134	2.98E+00	-2.62E+00	8.07E+00	0.701754387
cell_7320	1.19E+00	-4.63E-01	8.25E+00	0.701754387
cell_7492	6.59E-01	2.78E+00	8.23E+00	0.701754387
cell_7504	6.69E-01	9.97E-01	8.09E+00	0.701754387
cell_6441	1.11E+00	-1.70E-01	7.74E+00	0.701754387
cell_7043	-2.96E-01	3.05E+00	7.61E+00	0.701754387
cell_5633	3.79E+00	-1.52E+00	7.94E+00	0.701754387
cell_6616	3.75E-01	2.29E+00	7.63E+00	0.701754387
cell_6753	3.94E+00	-4.21E-01	7.60E+00	0.554385967
cell_7204	-9.90E-01	3.68E+00	8.46E+00	0.554385967
cell_7377	3.70E+00	-1.43E-01	8.36E+00	0.554385967
cell_7527	2.28E+00	4.26E-01	8.13E+00	0.554385967
cell_7550	3.51E+00	1.72E+00	8.30E+00	0.554385967
cell_7576	-1.54E+00	3.29E+00	8.22E+00	0.554385967
cell_5694	1.36E+00	1.65E+00	7.86E+00	0.554385967
cell_6026	-1.81E+00	1.90E+00	7.53E+00	0.554385967
cell_6546	-1.20E+00	2.50E+00	8.49E+00	0.554385967
cell_7264	4.76E-02	7.92E-01	7.55E+00	0.554385967
cell_5667	8.37E-01	1.90E-01	7.80E+00	0.554385967
cell_7438	1.90E+00	1.28E+00	8.28E+00	0.554385967
cell_6035	-1.70E+00	2.17E+00	7.53E+00	0.554385967
cell_6046	3.34E+00	2.18E-01	7.62E+00	0.554385967
cell_6341	3.56E+00	7.95E-01	7.70E+00	0.554385967
cell_6594	2.57E+00	-2.01E-01	8.34E+00	0.554385967
cell_5540	3.37E+00	7.03E-01	8.28E+00	0.554385967
cell_5787	-2.43E-01	2.78E+00	8.40E+00	0.554385967
cell_5857	1.26E+00	2.50E+00	7.69E+00	0.350877193
cell_5860	-6.40E-01	1.80E+00	7.75E+00	0.350877193
cell_5933	3.72E+00	3.62E-01	8.41E+00	0.350877193
cell_6221	1.93E+00	2.57E+00	8.41E+00	0.350877193
cell_6274	3.39E+00	7.86E-01	7.78E+00	0.350877193
cell_6291	9.63E-02	9.20E-01	7.74E+00	0.350877193
cell_6317	-1.42E-01	4.21E+00	7.86E+00	0.350877193
cell_6349	-1.43E+00	1.91E+00	7.56E+00	0.350877193
cell_6474	1.82E+00	-1.43E+00	8.30E+00	0.350877193
cell_6499	7.63E-01	1.80E+00	8.08E+00	0.350877193
cell_6673	-2.57E+00	2.93E+00	8.30E+00	0.350877193
cell_7106	3.50E+00	1.26E+00	7.71E+00	0.350877193
cell_7260	-2.08E+00	3.03E+00	8.49E+00	0.350877193
cell_7308	2.86E+00	-2.68E-01	7.97E+00	0.350877193
cell_7502	1.19E+00	6.16E-01	7.73E+00	0.350877193
cell_7528	3.85E+00	1.40E-01	7.92E+00	0.350877193
cell_5486	2.26E+00	-1.11E+00	7.54E+00	0.350877193
cell_5797	1.39E+00	7.29E-01	8.49E+00	0.350877193
cell_6033	1.85E+00	-9.40E-01	8.49E+00	0.350877193
cell_6112	3.38E+00	-2.54E+00	7.92E+00	0.350877193
cell_6514	-1.30E+00	2.92E+00	7.53E+00	0.350877193
cell_7009	3.52E+00	-2.18E+00	7.92E+00	0.350877193
cell_7076	1.52E-01	2.32E+00	8.05E+00	0.350877193
cell_7157	3.71E+00	8.88E-01	8.27E+00	0.350877193
cell_7282	-2.32E-01	2.43E+00	8.03E+00	0.350877193
cell_7393	8.16E-01	3.68E+00	7.63E+00	0.350877193
cell_6137	1.77E+00	-1.22E+00	7.93E+00	0.350877193
cell_6270	3.72E+00	-1.05E+00	7.88E+00	0.350877193
cell_6599	2.90E+00	1.52E+00	8.48E+00	0.350877193
cell_5654	1.44E+00	-9.27E-01	8.19E+00	0.350877193
cell_5593	-2.32E+00	3.52E+00	8.33E+00	0.350877193
cell_6995	1.40E+00	-5.08E-01	7.88E+00	0.350877193
cell_6019	-2.06E+00	2.11E+00	7.94E+00	0.350877193
cell_6449	2.92E+00	-2.00E+00	7.55E+00	0.350877193
cell_6486	-1.64E+00	3.62E+00	7.65E+00	0.350877193
cell_6502	3.93E-01	2.94E+00	7.56E+00	0.350877193
cell_7430	-1.23E+00	1.56E+00	8.35E+00	0.350877193
cell_7280	2.79E+00	1.99E+00	7.98E+00	0.350877193
cell_7388	4.19E+00	-1.74E-01	7.57E+00	0.350877193
cell_5664	1.05E+00	2.77E+00	8.16E+00	0.250013
cell_6357	1.56E+00	7.78E-01	7.79E+00	0.250013
cell_6771	2.77E+00	2.16E-01	7.97E+00	0.250013
cell_7351	-1.53E+00	3.94E+00	7.64E+00	0.250013
cell_7441	3.51E+00	-2.25E-01	8.43E+00	0.250013
cell_7444	4.14E-01	2.81E-01	8.34E+00	0.250013
cell_5506	1.14E+00	1.31E+00	8.23E+00	0.250013
cell_5525	1.05E+00	3.48E+00	8.22E+00	0.250013
cell_5733	-9.25E-01	2.04E+00	7.72E+00	0.250013
cell_5918	3.18E+00	1.86E+00	7.90E+00	0.250013
cell_5932	3.91E+00	-1.18E+00	7.95E+00	0.250013
cell_6069	-2.92E+00	2.96E+00	8.19E+00	0.250013
cell_6211	1.20E+00	-9.53E-01	7.65E+00	0.250013
cell_6339	4.01E+00	-1.15E+00	8.27E+00	0.250013
cell_6426	6.07E-01	3.50E+00	8.35E+00	0.250013
cell_6475	3.90E+00	-1.67E-02	8.44E+00	0.250013
cell_6522	2.78E+00	1.52E+00	8.05E+00	0.250013
cell_6563	-1.37E+00	3.81E+00	8.30E+00	0
cell_6702	2.33E+00	2.52E+00	7.90E+00	0
cell_6805	2.22E+00	-8.32E-01	8.49E+00	0
cell_6949	1.57E+00	-1.33E+00	8.20E+00	0
cell_7049	-1.16E+00	3.76E+00	8.46E+00	0
cell_7287	2.44E+00	1.82E+00	8.03E+00	0
cell_7339	3.37E+00	-3.37E-01	7.82E+00	0
cell_5613	8.73E-01	1.40E+00	7.52E+00	0
cell_6194	7.76E-01	-6.06E-01	8.10E+00	0
cell_7010	3.37E+00	-1.33E+00	7.63E+00	0
cell_5470	-2.65E+00	2.67E+00	7.99E+00	0
cell_5517	2.96E+00	-1.91E+00	8.01E+00	0
cell_5546	3.07E+00	2.50E+00	8.36E+00	0
cell_5801	5.33E-01	2.96E+00	8.45E+00	0
cell_5868	-1.83E+00	2.34E+00	8.32E+00	0
cell_5884	7.62E-01	2.63E+00	8.12E+00	0
cell_6146	-1.85E+00	3.02E+00	8.26E+00	0
cell_6366	9.58E-01	1.77E+00	8.46E+00	0
cell_6373	3.05E+00	2.51E+00	8.30E+00	0
cell_6406	3.74E+00	-1.48E+00	7.90E+00	0
cell_6518	4.11E+00	-1.02E+00	7.97E+00	0
cell_6540	1.60E+00	2.75E+00	8.31E+00	0
cell_6788	3.65E+00	1.74E+00	8.06E+00	0
cell_6800	3.28E+00	5.48E-01	7.82E+00	0
cell_6863	7.08E-01	5.95E-01	8.21E+00	0
cell_7037	4.95E-01	1.51E+00	8.11E+00	0
cell_7042	2.73E+00	2.71E+00	8.35E+00	0
cell_7117	4.27E-01	9.43E-01	7.76E+00	0
cell_7255	2.28E+00	3.01E+00	7.90E+00	0
cell_7516	3.19E+00	1.92E+00	8.42E+00	0
cell_7520	1.42E+00	1.61E+00	7.51E+00	0
cell_7591	3.97E-01	1.86E-01	8.20E+00	0
cell_7603	2.85E+00	-2.44E+00	8.42E+00	0
cell_5466	7.47E-01	1.42E+00	7.75E+00	0
cell_5558	2.20E+00	-1.64E+00	7.98E+00	0
cell_5945	5.29E-01	3.06E+00	7.90E+00	0
cell_6288	3.89E-02	2.14E+00	8.19E+00	0
cell_6316	3.39E+00	1.30E+00	7.75E+00	0
cell_6457	5.27E-01	1.39E+00	7.88E+00	0
cell_7023	3.58E+00	9.53E-01	8.14E+00	0
cell_7371	2.18E+00	1.83E+00	7.53E+00	0
cell_7472	-6.59E-01	2.81E+00	8.42E+00	0
cell_7507	6.29E-01	3.00E+00	8.40E+00	0
cell_7514	2.94E+00	5.16E-01	8.21E+00	0
cell_6014	1.16E+00	1.79E+00	8.34E+00	0
cell_6169	1.61E+00	-3.43E-01	8.39E+00	0
cell_7242	1.82E+00	2.80E+00	8.33E+00	0
