Cell	Celltype	Location_Smooth	X	Y	Z	T	Pou3f1	Mixl1	Mesp1	Sox17	Nodal	Bmp4	Eomes	Wnt3	Wnt3a	Fgf8	Celltype_Number
cell_5502	Epi-Ect	6P	-6.23E-01	6.69E-01	6.42E+00	0	0	2.32	0	4.58	0	0	1	0	0	2.81	4
cell_5677	Epi-Ect	6P	1.68E+00	-1.63E+00	6.12E+00	0	0	0	0	1.58	1	0	2.58	0	0	3.32	4
cell_5852	Epi-Ect	6P	-2.03E+00	2.10E+00	6.40E+00	0	0	0	0	2.58	0	0	1	0	0	3.17	4
cell_7623	Epi-Ect	6P	2.14E+00	-2.02E+00	5.73E+00	0	0	2.32	0	0	0	0	2	0	0	3	4
cell_7124	Epi-Ect	6P	-7.94E-01	9.61E-01	6.01E+00	0	0	0	0	3.32	0	0	1.58	0	0	2.58	4
cell_7145	Epi-Ect	6P	-7.15E-04	2.30E-01	5.52E+00	1.58	0	3.17	2.32	0	0	0	2.58	1.58	0	3.32	4
cell_6071	Epi-Ect	6P	1.31E+00	-1.07E+00	6.18E+00	1	0	1	0	3	0	0	1	0	0	1.58	4
cell_6849	Epi-Ect	6P	1.14E+00	-8.95E-01	6.47E+00	0	0	1	0	2.32	0	0	1	0	0	1.58	4
cell_6853	Epi-Ect	6P	-1.94E+00	2.20E+00	6.35E+00	0	0	1	0	3	0	0	1.58	0	0	2.32	4
cell_6989	Epi-Ect	6P	-1.85E+00	2.14E+00	6.07E+00	0	0	0	0	0	0	0	0	0	0	1.58	4
cell_5964	Epi-Ect	6P	6.87E-01	-3.94E-01	5.57E+00	0	2.32	0	0	0	0	0	0	0	0	0	4
cell_7221	Epi-Ect	6P	2.56E-02	3.18E-01	6.12E+00	0	0	0	0	0	0	0	0	0	0	0	4
cell_7400	Epi-Ect	6P	1.21E-01	2.45E-01	5.97E+00	0	0	0	0	0	0	0	1	0	0	0	4
cell_7585	Epi-Ect	6P	-1.93E+00	2.32E+00	5.96E+00	0	0	0	0	0	0	0	2	0	0	3.32	4
cell_6656	Epi-Ect	6P	-7.34E-01	1.16E+00	5.74E+00	0	2.81	0	1.58	0	0	0	2.32	0	0	2.81	4
cell_7233	Epi-Ect	6P	1.67E+00	-1.17E+00	6.19E+00	0	0	0	0	0	0	0	0	0	0	1.58	4
cell_5574	Epi-Ect	6P	4.15E-01	1.00E-01	5.62E+00	0	1.58	0	0	0	0	0	2.58	0	0	2.58	4
cell_5789	Epi-Ect	6P	2.00E+00	-1.48E+00	5.99E+00	0	2	0	0	0	0	1	0	0	0	0	4
